Columna,N_datos,Metodo,Outliers_percent,Limite_cook,Cook_distance_max,Limite_inferior_residuos,Limite_superior_residuos
BRO,102,cook_distance,2.941176470588235,0.0392156862745098,0.06891023035422147,,
CAV ,365,cook_distance,7.671232876712329,0.010958904109589041,0.054187670046429645,,
CAZ ,403,IQR_residuos,1.240694789081886,,,-1.2103910630445736,1.2276552819936146
COL   ,280,IQR_residuos,2.142857142857143,,,-0.8854091106815405,0.9016961415445364
DRA ,224,cook_distance,6.25,0.017857142857142856,0.04629211631383415,,
FON ,283,IQR_residuos,3.180212014134275,,,-1.143559252933251,1.1584517654087776
GUT ,403,cook_distance,5.955334987593052,0.009925558312655087,0.07091760860128214,,
ILO,403,IQR_residuos,1.240694789081886,,,-1.3188483061387588,1.3535087700725894
INA ,403,IQR_residuos,2.2332506203473943,,,-1.3930611508484212,1.4920298415706021
AHI,284,cook_distance,5.985915492957746,0.014084507042253521,0.06419731621070118,,
LAI ,191,cook_distance,4.712041884816754,0.020942408376963352,0.08924048284522693,,
LIL,399,IQR_residuos,2.506265664160401,,,-1.4275330104448267,1.5053712170941642
LOC ,255,cook_distance,5.490196078431373,0.01568627450980392,0.07286485493815266,,
NIE1,377,IQR_residuos,2.9177718832891246,,,-1.9219830410787573,1.8300381147501277
NIE2,377,IQR_residuos,3.183023872679045,,,-1.7008587460642612,1.803689531239863
PAN ,187,cook_distance,7.4866310160427805,0.0213903743315508,0.06974308968408036,,
PED ,401,cook_distance,6.234413965087282,0.00997506234413965,0.08372621648086669,,
POE ,403,cook_distance,4.466501240694789,0.009925558312655087,0.03204147312569124,,
REN ,367,cook_distance,6.539509536784741,0.010899182561307902,0.036058654466338026,,
SER,400,IQR_residuos,0.75,,,-1.3076002953759032,1.341955361370398
SUW ,405,cook_distance,6.419753086419753,0.009876543209876543,0.040587383828445255,,
VIG ,328,cook_distance,6.707317073170732,0.012195121951219513,0.04984409577015393,,
VIN ,150,cook_distance,8.666666666666668,0.02666666666666667,0.08144486196270634,,
WIN,232,IQR_residuos,0.0,,,-1.7056357333675685,1.7237017017238863
WOB ,395,IQR_residuos,1.2658227848101267,,,-2.3195377773398365,2.2519559526963375
