Columna,N_datos,Intercepto,Pendiente,R_cuadrado,P_valor,Regresion_valida
BRO,102,-19.744715423271327,-0.002954422714009735,0.017101229783792693,0.19016692158590687,No
CAV ,365,-25.590979325495773,0.0008076538804279217,0.030511423725132047,0.00080369132080782,Sí
CAZ ,403,-14.952686175788871,-0.0033851085089991145,0.4096274271533914,1.1102230246251565e-16,Sí
COL   ,280,-20.29764732925946,-0.0002561401852434099,0.004155242622288724,0.2824039364958333,No
DRA ,224,-15.414091326339939,-0.004427869661541756,0.11556526297826653,1.832359001197048e-07,Sí
FON ,283,-22.22202096707383,-0.001093882616085819,0.07847670865062595,1.6846411060589261e-06,Sí
GUT ,403,-18.903403467838842,-0.0025679828503098363,0.23940712726929214,1.1102230246251565e-16,Sí
ILO,403,-16.26420254816972,-0.004075201907984587,0.475597675527593,1.1102230246251565e-16,Sí
INA ,403,-24.393395034791617,-0.00021539857821242133,0.0018403945580156567,0.3903800739736978,No
AHI,284,-15.95342414731944,-0.005018473981360854,0.24671459769531345,1.1102230246251565e-16,Sí
LAI ,191,-11.108652995846057,-0.007308073954011922,0.26742628039128336,1.865174681370263e-14,Sí
LIL,399,-15.222853462443222,-0.0038700964026222038,0.35101311664643964,1.1102230246251565e-16,Sí
LOC ,255,-19.73866769661972,-0.003468389222292794,0.15783496875246972,4.517908269718873e-11,Sí
NIE1,377,-12.10382100624939,-0.00724659481883681,0.47543945801935295,1.1102230246251565e-16,Sí
NIE2,377,-17.755551335146276,-0.0031337933434750173,0.17831274812918663,1.1102230246251565e-16,Sí
PAN ,187,-16.79502410755174,-0.003486890429300069,0.1914611540169575,3.799677239513244e-10,Sí
PED ,401,-16.04619648076265,-0.003310183005628476,0.38309764913374944,1.1102230246251565e-16,Sí
POE ,403,-15.677127292290848,-0.004560571354622376,0.3315107850185871,1.1102230246251565e-16,Sí
REN ,367,-13.158451537987222,-0.00623641269903932,0.669934589062202,1.1102230246251565e-16,Sí
SER,400,-14.590338377575799,-0.004225351260007874,0.49190492326732915,1.1102230246251565e-16,Sí
SUW ,405,-15.588672937314644,-0.004157843150298548,0.3613041510668129,1.1102230246251565e-16,Sí
VIG ,328,-14.304991565327132,-0.004880139669565034,0.6080963583467739,1.1102230246251565e-16,Sí
VIN ,150,4.987672411188518,-0.014319843039228636,0.5663270028449809,1.1102230246251565e-16,Sí
WIN,232,-18.777350900501272,-0.0021634446209157065,0.06387135985297021,9.94160468471561e-05,Sí
WOB ,395,-28.031722870231714,0.0016927045021537367,0.052680389440735165,4.048498674302792e-06,Sí
